交易时间,涨停家数（去ST）
2018-01-02,34
2018-01-03,48
2018-01-04,39
2018-01-05,29
2018-01-08,41
2018-01-09,38
2018-01-10,47
2018-01-11,55
2018-01-12,32
2018-01-15,28
2018-01-16,58
2018-01-17,40
2018-01-18,39
2018-01-19,38
2018-01-22,38
2018-01-23,46
2018-01-24,39
2018-01-25,26
2018-01-26,23
2018-01-29,23
2018-01-30,30
2018-01-31,25
2018-02-01,19
2018-02-02,25
2018-02-05,28
2018-02-06,14
2018-02-07,42
2018-02-08,50
2018-02-09,21
2018-02-12,83
2018-02-13,31
2018-02-14,29
2018-02-22,42
2018-02-23,29
2018-02-26,53
2018-02-27,54
2018-02-28,34
2018-03-01,72
2018-03-02,36
2018-03-05,48
2018-03-06,57
2018-03-07,37
2018-03-08,66
2018-03-09,72
2018-03-12,64
2018-03-13,34
2018-03-14,15
2018-03-15,21
2018-03-16,45
2018-03-19,39
2018-03-20,57
2018-03-21,46
2018-03-22,56
2018-03-23,35
2018-03-26,68
2018-03-27,102
2018-03-28,51
2018-03-29,55
2018-03-30,74
2018-04-02,73
2018-04-03,50
2018-04-04,59
2018-04-09,75
2018-04-10,53
2018-04-11,62
2018-04-12,47
2018-04-13,28
2018-04-16,48
2018-04-17,19
2018-04-18,45
2018-04-19,26
2018-04-20,21
2018-04-23,29
2018-04-24,87
2018-04-25,58
2018-04-26,32
2018-04-27,22
2018-05-02,27
2018-05-03,57
2018-05-04,35
2018-05-07,64
2018-05-08,66
2018-05-09,47
2018-05-10,62
2018-05-11,28
2018-05-14,21
2018-05-15,53
2018-05-16,33
2018-05-17,34
2018-05-18,42
2018-05-21,56
2018-05-22,49
2018-05-23,30
2018-05-24,38
2018-05-25,43
2018-05-28,45
2018-05-29,40
2018-05-30,22
2018-05-31,63
2018-06-01,26
2018-06-04,27
2018-06-05,47
2018-06-06,39
2018-06-07,25
2018-06-08,24
2018-06-11,34
2018-06-12,37
2018-06-13,29
2018-06-14,41
2018-06-15,21
2018-06-19,14
2018-06-20,50
2018-06-21,21
2018-06-22,57
2018-06-25,55
2018-06-26,56
2018-06-27,47
2018-06-28,38
2018-06-29,94
2018-07-02,47
2018-07-03,66
2018-07-04,39
2018-07-05,25
2018-07-06,38
2018-07-09,64
2018-07-10,66
2018-07-11,33
2018-07-12,85
2018-07-13,46
2018-07-16,47
2018-07-17,59
2018-07-18,50
2018-07-19,34
2018-07-20,49
2018-07-23,52
2018-07-24,75
2018-07-25,64
2018-07-26,76
2018-07-27,46
2018-07-30,28
2018-07-31,36
2018-08-01,29
2018-08-02,29
2018-08-03,29
2018-08-06,22
2018-08-07,50
2018-08-08,32
2018-08-09,63
2018-08-10,40
2018-08-13,41
2018-08-14,34
2018-08-15,28
2018-08-16,20
2018-08-17,13
2018-08-20,30
2018-08-21,38
2018-08-22,19
2018-08-23,30
2018-08-24,28
2018-08-27,37
2018-08-28,28
2018-08-29,22
2018-08-30,13
2018-08-31,20
2018-09-03,36
2018-09-04,51
2018-09-05,36
2018-09-06,33
2018-09-07,44
2018-09-10,26
2018-09-11,28
2018-09-12,24
2018-09-13,35
2018-09-14,20
2018-09-17,24
2018-09-18,53
2018-09-19,42
2018-09-20,39
2018-09-21,31
2018-09-25,23
2018-09-26,37
2018-09-27,17
2018-09-28,26
2018-10-08,20
2018-10-09,33
2018-10-10,41
2018-10-11,20
2018-10-12,42
2018-10-15,42
2018-10-16,31
2018-10-17,53
2018-10-18,25
2018-10-19,59
2018-10-22,199
2018-10-23,60
2018-10-24,51
2018-10-25,40
2018-10-26,55
2018-10-29,32
2018-10-30,69
2018-10-31,69
2018-11-01,61
2018-11-02,81
2018-11-05,81
2018-11-06,65
2018-11-07,50
2018-11-08,60
2018-11-09,56
2018-11-12,109
2018-11-13,103
2018-11-14,62
2018-11-15,98
2018-11-16,104
2018-11-19,101
2018-11-20,39
2018-11-21,48
2018-11-22,49
2018-11-23,16
2018-11-26,32
2018-11-27,40
2018-11-28,50
2018-11-29,24
2018-11-30,32
2018-12-03,77
2018-12-04,45
2018-12-05,33
2018-12-06,24
2018-12-07,27
2018-12-10,18
2018-12-11,42
2018-12-12,25
2018-12-13,27
2018-12-14,14
2018-12-17,29
2018-12-18,19
2018-12-19,20
2018-12-20,24
2018-12-21,17
2018-12-24,30
2018-12-25,38
2018-12-26,37
2018-12-27,20
2018-12-28,21
2019-01-02,31
2019-01-03,39
2019-01-04,72
2019-01-07,88
2019-01-08,47
2019-01-09,62
2019-01-10,48
2019-01-11,67
2019-01-14,42
2019-01-15,48
2019-01-16,33
2019-01-17,36
2019-01-18,32
2019-01-21,41
2019-01-22,32
2019-01-23,43
2019-01-24,43
2019-01-25,41
2019-01-28,23
2019-01-29,21
