交易时间,跌停家数（去ST）
2018-01-02,4
2018-01-03,3
2018-01-04,2
2018-01-05,2
2018-01-08,1
2018-01-12,5
2018-01-15,26
2018-01-16,5
2018-01-17,20
2018-01-18,6
2018-01-19,10
2018-01-22,27
2018-01-23,6
2018-01-24,9
2018-01-25,6
2018-01-26,7
2018-01-29,17
2018-01-30,18
2018-01-31,134
2018-02-01,223
2018-02-02,60
2018-02-05,64
2018-02-06,441
2018-02-07,31
2018-02-08,22
2018-02-09,95
2018-02-12,8
2018-02-13,18
2018-02-14,18
2018-02-22,12
2018-02-23,7
2018-02-26,6
2018-02-27,6
2018-02-28,11
2018-03-02,4
2018-03-05,2
2018-03-06,1
2018-03-07,2
2018-03-08,2
2018-03-09,1
2018-03-12,1
2018-03-13,4
2018-03-14,2
2018-03-15,4
2018-03-16,2
2018-03-19,6
2018-03-20,2
2018-03-21,3
2018-03-22,4
2018-03-23,413
2018-03-26,6
2018-03-28,13
2018-03-29,4
2018-03-30,1
2018-04-02,3
2018-04-03,5
2018-04-04,5
2018-04-09,6
2018-04-10,34
2018-04-12,9
2018-04-13,17
2018-04-16,14
2018-04-17,25
2018-04-18,6
2018-04-19,1
2018-04-20,31
2018-04-23,29
2018-04-24,1
2018-04-25,4
2018-04-26,28
2018-04-27,27
2018-05-02,46
2018-05-03,6
2018-05-04,8
2018-05-07,5
2018-05-08,5
2018-05-09,4
2018-05-10,1
2018-05-11,10
2018-05-14,16
2018-05-15,2
2018-05-16,4
2018-05-17,9
2018-05-18,10
2018-05-21,4
2018-05-22,5
2018-05-23,7
2018-05-24,4
2018-05-25,5
2018-05-28,26
2018-05-29,20
2018-05-30,167
2018-05-31,11
2018-06-01,22
2018-06-04,42
2018-06-05,14
2018-06-06,8
2018-06-07,6
2018-06-08,10
2018-06-11,18
2018-06-12,16
2018-06-13,28
2018-06-14,36
2018-06-15,74
2018-06-19,600
2018-06-20,51
2018-06-21,98
2018-06-22,29
2018-06-25,30
2018-06-26,21
2018-06-27,18
2018-06-28,26
2018-06-29,11
2018-07-02,25
2018-07-03,25
2018-07-04,43
2018-07-05,48
2018-07-06,22
2018-07-09,21
2018-07-10,10
2018-07-11,21
2018-07-12,5
2018-07-13,15
2018-07-16,33
2018-07-17,14
2018-07-18,10
2018-07-19,14
2018-07-20,7
2018-07-23,19
2018-07-24,2
2018-07-25,3
2018-07-26,4
2018-07-27,11
2018-07-30,26
2018-07-31,15
2018-08-01,5
2018-08-02,15
2018-08-03,24
2018-08-06,68
2018-08-07,13
2018-08-08,34
2018-08-09,6
2018-08-10,4
2018-08-13,7
2018-08-14,5
2018-08-15,10
2018-08-16,11
2018-08-17,22
2018-08-20,17
2018-08-21,10
2018-08-22,18
2018-08-23,6
2018-08-24,11
2018-08-27,7
2018-08-28,6
2018-08-29,4
2018-08-30,9
2018-08-31,14
2018-09-03,6
2018-09-04,6
2018-09-05,5
2018-09-06,5
2018-09-07,4
2018-09-10,25
2018-09-11,13
2018-09-12,9
2018-09-13,14
2018-09-14,24
2018-09-17,24
2018-09-18,9
2018-09-19,6
2018-09-20,6
2018-09-21,8
2018-09-25,7
2018-09-26,6
2018-09-27,21
2018-09-28,8
2018-10-08,42
2018-10-09,9
2018-10-10,12
2018-10-11,600
2018-10-12,34
2018-10-15,29
2018-10-16,64
2018-10-17,31
2018-10-18,124
2018-10-19,17
2018-10-22,1
2018-10-23,11
2018-10-24,5
2018-10-25,8
2018-10-26,4
2018-10-29,37
2018-10-30,5
2018-10-31,5
2018-11-01,4
2018-11-02,7
2018-11-05,6
2018-11-06,19
2018-11-07,7
2018-11-08,7
2018-11-09,8
2018-11-12,5
2018-11-13,2
2018-11-14,4
2018-11-15,2
2018-11-16,6
2018-11-19,6
2018-11-20,27
2018-11-21,4
2018-11-22,6
2018-11-23,63
2018-11-26,22
2018-11-27,1
2018-11-28,6
2018-11-29,9
2018-11-30,7
2018-12-03,1
2018-12-04,2
2018-12-05,23
2018-12-06,25
2018-12-07,12
2018-12-10,16
2018-12-11,3
2018-12-12,2
2018-12-13,2
2018-12-14,7
2018-12-17,6
2018-12-18,3
2018-12-19,5
2018-12-20,9
2018-12-21,6
2018-12-24,7
2018-12-25,8
2018-12-26,4
2018-12-27,8
2018-12-28,4
2019-01-02,14
2019-01-03,19
2019-01-08,1
2019-01-10,4
2019-01-11,5
2019-01-14,12
2019-01-15,4
2019-01-16,2
2019-01-17,4
2019-01-18,7
2019-01-21,4
2019-01-22,1
2019-01-23,3
2019-01-24,6
2019-01-25,14
2019-01-28,29
2019-01-29,41
2019-01-30,61
2019-01-31,113
2019-02-01,8
2019-02-11,4
2019-02-14,1
2019-02-26,11
2019-02-27,18
2019-02-28,20
2019-03-07,1
2019-03-08,197
2019-03-11,4
2019-03-13,41
2019-03-14,84
2019-03-15,5
2019-03-18,2
2019-03-19,1
2019-03-22,1
2019-03-25,10
2019-03-26,22
2019-03-27,2
2019-03-28,40
2019-03-29,2
2019-04-01,1
2019-04-02,4
2019-04-03,3
2019-04-04,3
2019-04-08,5
2019-04-09,6
2019-04-10,8
2019-04-11,9
2019-04-12,23
2019-04-15,7
2019-04-16,3
2019-04-17,1
2019-04-18,1
2019-04-19,2
2019-04-22,10
2019-04-23,44
2019-04-24,7
2019-04-25,69
2019-04-26,44
2019-04-29,268
2019-04-30,48
2019-05-06,600
2019-05-07,9
2019-05-08,19
2019-05-09,24
2019-05-10,1
2019-05-13,6
2019-05-14,6
2019-05-16,1
2019-05-17,28
2019-05-20,47
2019-05-21,6
2019-05-22,4
2019-05-23,37
2019-05-24,35
2019-05-27,7
2019-05-28,4
2019-05-29,3
2019-05-30,20
2019-05-31,7
2019-06-03,41
2019-06-04,37
2019-06-05,18
2019-06-06,51
2019-06-10,18
2019-06-11,5
2019-06-12,5
2019-06-13,8
2019-06-14,21
2019-06-17,12
2019-06-18,6
2019-06-19,3
2019-06-20,6
2019-06-21,2
2019-06-24,6
2019-06-25,18
2019-06-26,22
2019-06-27,7
2019-06-28,8
2019-07-02,8
2019-07-03,6
2019-07-04,6
2019-07-05,5
2019-07-08,13
2019-07-09,3
2019-07-10,6
2019-07-12,7
2019-07-15,8
2019-07-18,2
2019-07-19,2
2019-07-22,41
2019-07-23,2
2019-07-25,1
2019-07-26,5
2019-07-29,3
2019-07-30,2
2019-07-31,3
2019-08-01,3
2019-08-02,3
2019-08-05,6
2019-08-06,8
2019-08-07,12
2019-08-08,10
2019-08-09,2
2019-08-12,1
2019-08-13,2
2019-08-14,3
2019-08-15,3
2019-08-16,3
2019-08-19,2
2019-08-20,2
2019-08-21,1
2019-08-23,3
2019-08-26,3
2019-08-27,1
2019-08-28,4
2019-08-29,2
2019-08-30,17
2019-09-02,1
2019-09-03,3
2019-09-04,2
2019-09-05,1
2019-09-06,2
2019-09-09,2
2019-09-10,1
2019-09-11,2
2019-09-12,4
2019-09-16,2
2019-09-17,3
2019-09-18,3
2019-09-19,2
2019-09-20,3
2019-09-23,5
2019-09-24,5
2019-09-25,19
2019-09-26,86
2019-09-27,12
2019-09-30,20
2019-10-08,13
2019-10-09,8
2019-10-10,2
2019-10-11,3
2019-10-14,1
2019-10-15,33
2019-10-16,10
2019-10-17,4
2019-10-18,6
2019-10-21,24
2019-10-22,4
2019-10-23,4
2019-10-24,11
2019-10-25,6
2019-10-28,10
2019-10-29,18
2019-10-30,37
2019-10-31,38
2019-11-01,8
2019-11-04,4
2019-11-05,6
2019-11-06,7
2019-11-07,3
2019-11-08,5
2019-11-11,11
2019-11-12,4
2019-11-13,9
2019-11-14,3
2019-11-15,21
2019-11-18,4
2019-11-20,3
2019-11-21,2
2019-11-22,11
2019-11-25,29
2019-11-26,12
2019-11-27,8
2019-11-28,7
2019-11-29,6
2019-12-02,4
2019-12-03,3
2019-12-04,3
2019-12-05,2
2019-12-06,4
2019-12-09,5
2019-12-10,2
2019-12-11,5
2019-12-12,6
2019-12-13,3
2019-12-16,1
2019-12-17,1
2019-12-18,1
2019-12-19,4
2019-12-20,3
2019-12-23,33
2019-12-24,5
2019-12-30,12
2019-12-31,3
2020-01-02,1
2020-01-03,2
2020-01-06,3
2020-01-07,1
2020-01-08,3
2020-01-10,5
2020-01-13,4
2020-01-14,5
2020-01-15,7
2020-01-16,1
2020-01-17,10
2020-01-20,9
2020-01-21,20
2020-01-22,23
2020-01-23,72
2020-02-03,600
2020-02-04,21
2020-02-06,2
2020-02-07,2
2020-02-10,29
2020-02-11,34
2020-02-13,2
2020-02-14,3
2020-02-18,2
2020-02-19,14
2020-02-20,1
2020-02-24,3
