板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885728.TI,人工智能,2026-01-14,13,8天7板,24,46,2.0787,1
886100.TI,DeepSeek概念,2026-01-14,4,5天5板,17,36,2.3707,2
885806.TI,华为概念,2026-01-14,13,9天6板,15,31,1.773,3
886099.TI,AI智能体,2026-01-14,4,5天5板,17,30,3.7064,4
885611.TI,阿里巴巴概念,2026-01-14,4,4天4板,15,25,3.2038,5
885976.TI,数字经济,2026-01-14,1,9天6板,11,24,2.3385,6
886108.TI,AI应用,2026-01-14,2,5天5板,13,21,4.2755,7
886019.TI,AIGC概念,2026-01-14,4,4天4板,16,20,3.7127,8
886041.TI,数据要素,2026-01-14,4,5天5板,11,20,3.1398,9
885756.TI,芯片概念,2026-01-14,1,4天4板,8,20,1.1867,10
885757.TI,区块链,2026-01-14,1,4天4板,11,19,3.076,11
885517.TI,机器人概念,2026-01-14,1,8天7板,7,19,0.7264,12
885887.TI,数据中心,2026-01-14,1,5天5板,7,17,1.7956,13
886078.TI,商业航天,2026-01-14,1,8天7板,9,17,0.7565,14
885921.TI,储能,2026-01-14,2,8天7板,7,17,0.59,15
885362.TI,云计算,2026-01-14,1,5天5板,8,16,3.7889,16
885890.TI,抖音概念(字节概念),2026-01-14,3,4天4板,9,16,3.2872,17
885413.TI,创投,2026-01-14,4,8天7板,9,16,1.009,18
885929.TI,专精特新,2026-01-14,1,8天7板,6,16,0.9057,19
885779.TI,腾讯概念,2026-01-14,3,4天4板,8,15,3.0189,20
