交易日期,股票代码,股票名称,收盘价,涨跌幅%,换手率%,总成交额(元),龙虎榜卖出额(元),龙虎榜买入额(元),龙虎榜成交额(元),龙虎榜净买入额(元),龙虎榜净买额占比%,龙虎榜成交额占比%,当日流通市值(元),上榜理由
2026-01-09,000908.SZ,*ST景峰,7.8,3.8615,3.6,369658457.0,43897116.4,54730544.6,98627661.0,10833428.2,2.93,26.68,6862239937.8,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-09,001208.SZ,华菱线缆,29.0,2.0767,56.2,4438051992.0,427063381.87,275403928.05,702467309.92,-151659453.82,-3.42,15.83,7638534663.0,日换手率达到20%的前5只证券
2026-01-09,001215.SZ,千味央厨,47.17,5.0089,8.6,940714056.0,211212603.43,198928253.79,410140857.22,-12284349.64,-1.31,43.6,4565250006.21,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-09,001231.SZ,农心科技,25.2,-5.8999,24.07,301931281.0,30178175.34,15607940.0,45786115.34,-14570235.34,-4.83,15.16,1257606000.0,日跌幅偏离值达到7%的前5只证券
2026-01-09,001331.SZ,胜通能源,58.55,-2.4817,18.75,1810597541.0,126134162.1,125245956.89,251380118.99,-888205.21,-0.05,13.88,9829121005.45,日振幅值达到15%的前5只证券
2026-01-09,002131.SZ,利欧股份,7.46,10.0295,11.98,5151393428.0,307918823.06,934582342.51,1242501165.57,626663519.45,12.16,24.12,43638939861.32,日涨幅偏离值达到7%的前5只证券
2026-01-09,002173.SZ,创新医疗,34.64,10.0032,42.68,6066496078.0,493157892.84,793866308.21,1287024201.05,300708415.37,4.96,21.22,14420785905.52,日涨幅偏离值达到7%的前5只证券
2026-01-09,002199.SZ,*ST东晶,10.05,4.3614,4.03,185258813.0,29994807.5,38457539.54,68452347.04,8462732.04,4.57,36.95,2446595748.15,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-09,002202.SZ,金风科技,31.94,9.9862,16.74,17893128946.0,1364541629.74,1830549848.4,3195091478.14,466008218.66,2.6,17.86,107451959697.14,日涨幅偏离值达到7%的前5只证券
2026-01-09,002231.SZ,*ST奥维,1.21,-4.7244,15.79,176015704.0,21078843.7,15692687.93,36771531.63,-5386155.77,-3.06,20.89,372469117.57,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-09,002231.SZ,*ST奥维,1.21,-4.7244,15.79,1114206051.76,1114206051.76,1114206051.76,2228412103.52,0.0,0.0,200.0,372469117.57,严重异常期间日收盘价格跌幅偏离值累计达到70%的证券
2026-01-09,002400.SZ,省广集团,10.37,9.9682,25.22,4408889762.0,500630664.81,537370922.37,1038001587.18,36740257.56,0.83,23.54,17900327088.66,日涨幅偏离值达到7%的前5只证券
2026-01-09,002413.SZ,雷科防务,18.3,3.4483,47.74,10818002561.0,1024020809.07,1551720749.29,2575741558.36,527699940.22,4.88,23.81,23663353020.0,日换手率达到20%的前5只证券
2026-01-09,002428.SZ,云南锗业,38.92,10.0057,16.45,4125660800.0,653979076.6,853287912.72,1507266989.32,199308836.12,4.83,36.53,25416146525.0,日涨幅偏离值达到7%的前5只证券
